"sentence","src_label","tgt_label","link_type"
" And the #GuptaLeaks confirm that the Guptas were expecting Goyal to land in Johannesburg on 22 September 2012, shortly before he allegedly pitched up at Montana’s meeting with Martins, Duduzane Zuma and Tony Gupta.","Guptas","Tony Gupta","FAMILY"
"Their tax filings do not provide details on the organisations they fund outside the US, though notably, the New York-based United Community Fund (UCF) contributed a total of $22.9-million to various unspecified entities and causes in sub-Saharan Africa.","New York","US","WITHIN"
" On the same day, 14 October, Sharma forwarded to Tony Gupta an email from Eric Wood of Regiments Capital relating to a R5-billion capital raising proposal for Transnet.","Eric Wood","Regiments Capital","MANAGER"
" The Guptas targeted officials holding positions of personal trust closest to President Jacob Zuma, offering gifts, favours and business deals.","Jacob Zuma","Guptas","ASSOCIATE"
"In South Africa, he has cosied up to the ANC and President Jacob Zuma.","Jacob Zuma","ANC","EMPLOYEE"
"In South Africa, he has cosied up to the ANC and President Jacob Zuma.","Jacob Zuma","ANC","MANAGER"
" Some days Thulani Majola gave generously to the ANC; some days he gave to EFF leader Julius Malema.","EFF","ANC","ANTAGONIST"
" Some days Thulani Majola gave generously to the ANC; some days he gave to EFF leader Julius Malema .","EFF","ANC","ANTAGONIST"
" On May 26 2006 the M&G published its first exposé of the links between Jackie Selebi and a man called Glenn Agliotti.","Jackie Selebi","Glenn Agliotti","ANTAGONIST"
" AmaBhungane managing partner Sam Sole said: “The complexity of this crime means that it is likely to be years before any of the perpetrators face criminal consequences.","Sam Sole","AmaBhungane","MANAGER"
" The R9.4-billion payday In December 2015, representatives of McKinsey and the newly minted Trillian Capital Partners sat down to divide between the two firms R9.4-billion in consulting fees that they anticipated they could extract from Eskom over four years.","Trillian Capital Partners","Eskom","INDIRECT"
" Duduzane was given residency of Dubai shortly before the Guptas wrote to officials to say Jacob Zuma and his family intended to make it a second home.","Jacob Zuma","Guptas","ASSOCIATE"
" New evidence that Molefe helped the Guptas grab a mine – and how Jacob Zuma shafted the then mining minister after, he says, he refused to play along.","Jacob Zuma","Guptas","ASSOCIATE"
" Sisulu launched a short-lived campaign to succeed Jacob Zuma as ANC president in July 2017, ahead of the watershed conference at the Nasrec exhibition centre that saw Cyril Ramaphosa elected by a narrow margin in December that year.","Jacob Zuma","ANC","EMPLOYEE"
" Sisulu launched a short-lived campaign to succeed Jacob Zuma as ANC president in July 2017, ahead of the watershed conference at the Nasrec exhibition centre that saw Cyril Ramaphosa elected by a narrow margin in December that year.","Jacob Zuma","ANC","MANAGER"
